flag	content
$SCENE_OPENING_TITLE	Ouverture
$NARR_OPENING_00_TEXT	*Je m'appelle $MCG.
$NARR_OPENING_10_TEXT	Je vais mourir.
$NARR_OPENING_20_TEXT	Ils n'attendent pas.
$NARR_OPENING_30_TEXT	Nous n'avons même plus le temps de brûler les corps...
$NARR_OPENING_40_TEXT	On se contente de les sortir de la cité...
$NARR_OPENING_50_TEXT	...et de les jeter dans la Fosse.
$SCENE_WHERE_AM_I_TITLE	Le Monde à Mi-Chemin
$NARR_WHERE_AM_I_00_TEXT	ACTE I
$NARR_WHERE_AM_I_00_SUB_TEXT	*Un pied dans chaque monde et son âme au milieu,$NAinsi le mourant peut tout voir.
$NARR_WHERE_AM_I_00_SUB_SUB_TEXT	*$N$N$N-Proverbe nomade
$LINE_WHERE_AM_I_00_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_00_TEXT	Le sentez-vous ?
$LINE_WHERE_AM_I_10_CHAR	$MCG
$LINE_WHERE_AM_I_10_TEXT	Hein ? Où sommes-nous ?
$LINE_WHERE_AM_I_20_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_20_TEXT	Il nous appelle...
$LINE_WHERE_AM_I_30_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_30_TEXT	Venez, nous devons le rejoindre...
$LINE_WHERE_AM_I_40_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_40_TEXT	Nous sommes déjà à mi-chemin...
$LINE_WHERE_AM_I_50_CHAR	$MCG
$LINE_WHERE_AM_I_50_TEXT	Mais qu'est-ce que vous faites ? Vous êtes folle ?!
$LINE_WHERE_AM_I_60_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_60_TEXT	Écoutez la Voix...
$LINE_WHERE_AM_I_70_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_70_TEXT	Il nous offre bien plus... Une place au sein de quelque chose... de plus grand.
$LINE_WHERE_AM_I_80_CHAR	VICTIME DE LA PESTE
$LINE_WHERE_AM_I_80_TEXT	Il faudrait être fou pour résister...
$LINE_WHERE_AM_I_90_CHAR	$MCG
$LINE_WHERE_AM_I_90_TEXT	Laissez-moi tranquille !
$LINE_WHERE_AM_I_100_CHAR	VOIX
$LINE_WHERE_AM_I_100_TEXT	TOUS ME REJOINDRONT. TOUS DEVIENDRONT DES RÉCEPTACLES.
$LINE_WHERE_AM_I_110_CHAR	$MCG
$LINE_WHERE_AM_I_110_TEXT	Sortez-moi de là !
$LINE_WHERE_AM_I_120_CHAR	VOIX
$LINE_WHERE_AM_I_120_TEXT	MON ORDRE.
$LINE_WHERE_AM_I_130_CHAR	$MCG
$LINE_WHERE_AM_I_130_TEXT	Peux plus... bouger...
$LINE_WHERE_AM_I_140_CHAR	$MCG
$LINE_WHERE_AM_I_140_TEXT	À l'aide... Quelqu'un !
$LINE_WHERE_AM_I_150_CHAR	$BER
$LINE_WHERE_AM_I_150_TEXT	Que ?! Mais où... Cékoisdélire ?!
$SCENE_MEET_BERSERKER_TITLE	Un bien étrange nouvel ami
$LINE_MEET_BERSERKER_00_CHAR	$MCG
$LINE_MEET_BERSERKER_00_TEXT	Wouah...
$LINE_MEET_BERSERKER_10_CHAR	$MCG
$LINE_MEET_BERSERKER_10_TEXT	Que s'est-il passé ?
$LINE_MEET_BERSERKER_20_CHAR	$BER
$LINE_MEET_BERSERKER_20_TEXT	J'en sais rien, moi ! Y'a pas cinq minutes, t'étais toute morte, et moi j'étais juste un type qui essayait de récupérer de nouvelles chaussures.
$LINE_MEET_BERSERKER_30_CHAR	$BER
$LINE_MEET_BERSERKER_30_TEXT	Bon ben, bonne nouvelle ! T'es vivante, et t'as plus l'air d'avoir la peste.
$LINE_MEET_BERSERKER_40_CHAR	$MCG
$LINE_MEET_BERSERKER_40_TEXT	Où...?
$LINE_MEET_BERSERKER_50_CHAR	$BER
$LINE_MEET_BERSERKER_50_TEXT	La mauvaise nouvelle, c'est que pour la nouvelle paire de pompes, c'est râpé...
$LINE_MEET_BERSERKER_60_CHAR	$BER
$LINE_MEET_BERSERKER_60_TEXT	Ah, et puis t'es piégée dans cette colonie de pestiférés avec nous.
$LINE_MEET_BERSERKER_70_CHAR	$MCG
$LINE_MEET_BERSERKER_70_TEXT	La Fosse...
$LINE_MEET_BERSERKER_80_CHAR	$BER
$LINE_MEET_BERSERKER_80_TEXT	Souris ! Tu as survécu, donc tu devrais être immunisée contre la peste, dorénavant !
$LINE_MEET_BERSERKER_90_CHAR	$MCG
$LINE_MEET_BERSERKER_90_TEXT	Et donc les gardes vont nous laisser sortir ?
$LINE_MEET_BERSERKER_100_CHAR	$BER
$LINE_MEET_BERSERKER_100_TEXT	Tu pourrais essayer de leur expliquer la situation... Mais ils n'écoutent pas trop ce qu'on a à dire.
$LINE_MEET_BERSERKER_110_CHAR	$BER
$LINE_MEET_BERSERKER_110_TEXT	*Ils ont tendance à confondre « répondre poliment » avec$N « cribler de flèches ».
$LINE_MEET_BERSERKER_120_CHAR	$BER
$LINE_MEET_BERSERKER_120_TEXT	Sérieux... Je me demande quel genre de formation reçoivent les effectifs du Royaume d'Ash de nos jours...
$LINE_MEET_BERSERKER_130_CHAR	$MCG
$LINE_MEET_BERSERKER_130_TEXT	...
$LINE_MEET_BERSERKER_140_CHAR	$MCG
$LINE_MEET_BERSERKER_140_TEXT	Je ne comprends toujours pas ce qui s'est passé dans cet... autre endroit...
$LINE_MEET_BERSERKER_150_CHAR	$BER
$LINE_MEET_BERSERKER_150_TEXT	T'en fais pas... Moi aussi, j'ai eu le même genre d'hallucination quand j'ai attrapé la peste.
$LINE_MEET_BERSERKER_160_CHAR	$MCG
$LINE_MEET_BERSERKER_160_TEXT	Attendez... Vous étiez là-bas avec moi ! Comment cela pourrait-il être une hallucination ?!
$LINE_MEET_BERSERKER_170_CHAR	$BER
$LINE_MEET_BERSERKER_170_TEXT	Oh, mais que voilà ? Une caravane !
$LINE_MEET_BERSERKER_180_CHAR	$MCG
$LINE_MEET_BERSERKER_180_TEXT	Attendez !
$LINE_MEET_BERSERKER_190_CHAR	$MCG
$LINE_MEET_BERSERKER_190_TEXT	Dites-moi au moins comment vous vous appelez !
$SCENE_SECOND_BATTLE_TITLE	La Caravane des Morts
$LINE_SECOND_BATTLE_00_CHAR	$BER
$LINE_SECOND_BATTLE_00_TEXT	Ohé, de la caravane ! Vous n'auriez pas des chaussures, par hasard ?
$LINE_SECOND_BATTLE_10_CHAR	GARDE DE CARAVANE INFECTÉ
$LINE_SECOND_BATTLE_10_TEXT	Offrir... tribut... à Ozimal...
$LINE_SECOND_BATTLE_20_CHAR	$BER
$LINE_SECOND_BATTLE_20_TEXT	Oh ho...
$LINE_SECOND_BATTLE_30_CHAR	$MCG
