flag	content
$T0N0	
$T0N1	
$T0N2	標題:秘密?<BR>內容:這件物品現在會經常在玩家的物品欄中出現。<BR>true:確定！
$T0N4	
$T0N6	標題:秘密?<BR>內容:守衛者的任務2 出現了！快看看後來領獎吧！<BR>true:確定！<BR>false:哈哈哈！不！
$T0N8	
$T0N9	
$T0N10	標題:秘密?<BR>內容:你還可以透過訪問守衛者的任務拿到這個的！<BR>true:確定!<BR>錯誤：永不!
$T0N12	
$T1N2	標題:獎品<BR>內容:在社交媒體上分享這個遊戲或是訂閱我們的新聞來免費獲得這個物品吧！<BR>true:確定!<BR>false:永不!
$T1N4	標題:獎品<BR>內容:這件物品現在會經常在玩家的物品欄中出現。<BR>true:確定！
$T1N7	標題:獎品<BR>內容:是的！把它貼在那個人上吧！<N>用這個吧！<BR>true:確定！
$T1N8	標題:秘密?<BR>內容:這件物品現在會經常在玩家的物品欄中出現。<BR>true:確定！
$T1N9	標題:獎品<BR>內容:在社交媒體上分享這個遊戲或是訂閱我們的新聞來免費獲得這個物品吧！<BR>true:確定!<BR>false:永不!
$T1N10	標題:獎品<BR>內容:你確定嗎？<N>看！它閃閃發光耶！<BR>true:那......好吧。<BR>false:我說了永不！<BR>effect:發光
$T1N13	標題:獎品<BR>內容:好的，你贏了！<N>送給你的 :)<BR>true:我就說唄！勝利是屬於我的！
$T1N16	
$T1N17	標題:獎品<BR>內容:謝謝你關注我們！<N>獎品給你啦！<BR>true:Okay<BR>false:我可不喜歡社交媒體。
$T1N21	
$T1N22	
$T1N6	標題:秘密?<BR>內容:守衛者的任務2 出現了！快看看後來領獎吧！<BR>正確：確定！<BR>錯誤：哈哈哈！不！
