     	name	comment	
$BLANK		COMMENT: This file contains all the tutorial text from the game's map (level) files.	
$1_1_WHERE_AM_I_00_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_00_TEXT	我在哪？		
$1_1_WHERE_AM_I_10_TITLE			
$1_1_WHERE_AM_I_10_TEXT	这是你的角色 。$MCG.<N>她不能动。		
$1_1_WHERE_AM_I_20_TITLE			
$1_1_WHERE_AM_I_20_TEXT	敌人来了！<N>不要让他们接近 $MCG!		
$1_1_WHERE_AM_I_30_TITLE			
$1_1_WHERE_AM_I_30_TEXT	在新游戏+ 模式, 敌人会更强了，也有了新技能。		
$1_1_WHERE_AM_I_40_TITLE			
$1_1_WHERE_AM_I_40_TEXT	举例说，所有的亡灵都可恢复体力值。		
$1_1_WHERE_AM_I_50_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_50_TEXT	嘿！陌生人！你在哪？		
$1_1_WHERE_AM_I_60_TITLE			
$1_1_WHERE_AM_I_60_TEXT	点击这里选择狂战士菜单。		
$1_1_WHERE_AM_I_61_TITLE			
$1_1_WHERE_AM_I_61_TEXT	点击 <守护者> or <上> 去选择狂战士菜单。		
$1_1_WHERE_AM_I_70_TITLE			
$1_1_WHERE_AM_I_70_TEXT	现在你只有你的狂战士。当你遇见故事中的第二位英雄时，你就可以解锁那个职业的所有角色。		
$1_1_WHERE_AM_I_80_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_80_TEXT	你对我做了什么？！		
$1_1_WHERE_AM_I_90_TITLE	TALK_$MCG_POWER		
$1_1_WHERE_AM_I_90_TEXT	我不知道！有怪物在追我！救命啊！		
$1_1_WHERE_AM_I_100_TITLE	TALK_$BER_SURPRISE		
$1_1_WHERE_AM_I_100_TEXT	为什么我会变成透明呢？我的身体呢？		
$1_1_WHERE_AM_I_110_TITLE			
$1_1_WHERE_AM_I_110_TEXT	这里显示你的队伍中所有的狂战士。<N>现在你只有这个人了。		
$1_1_WHERE_AM_I_120_TITLE			
$1_1_WHERE_AM_I_120_TEXT	点选这里去选择他。		
$1_1_WHERE_AM_I_121_TITLE			
$1_1_WHERE_AM_I_121_TEXT	按 <下>, 然后 <选择>去选择他。		
$1_1_WHERE_AM_I_130_TITLE			
