"flag","nick_name","flavor_name","flavor_text",
"$EN_SLUGWORM","ファスト","ワーム","レブナントの素早い幼体｜すばしっこい、虫のような姿をした生き物は、鋭い歯列を持っている。目撃者によると、膿にただれたブヨブヨのレブナントから飛び出してくるらしい。",
"$EN_NORMAL_NOMONEY","ノーマル","レブナント","蘇りし死体｜奈落では、死体が数日後に生き返ることがある。これらのモンスターは「レブナント」と呼ばれており、これは「帰りし者」を意味する。",
"$EN_NORMAL","ノーマル","レブナント","蘇りし死体｜奈落では、死体が数日後に生き返ることがある。これらのモンスターは「レブナント」と呼ばれており、これは「帰りし者」を意味する。",
"$EN_CULTIST","カルト信者","カルト信者","変身した信者｜「ブラッドマッド教」は、血を抜いて治療することで知られるある遊牧民の宗派から始まった。ゲカ民族大量虐殺事件の生存者によると、彼らは「エズティル・テノク」を崇拝するようになった後、他の民族を攻撃するようになり、その信者はレブナントに変身できたそうだ。",
"$EN_ARMORED CULTIST","カルトプリースト","カルトプリースト","カルトの司祭｜「ブラッドマッド教」は、血を抜いて治療することで知られるある遊牧民の宗派から始まった。ゲカ民族大量虐殺事件の生存者によると、彼らは「エズティル・テノク」を崇拝するようになった後、他の民族を攻撃するようになり、その信者はレブナントに変身できたそうだ。",
"$EN_INSANE CULTIST","狂ったカルト信者","ハイプリースト","カルトの高位司祭｜「ブラッドマッド教」は、血を抜いて治療することで知られるある遊牧民の宗派から始まった。ゲカ民族大量虐殺事件の生存者によると、彼らは「エズティル・テノク」を崇拝するようになった後、他の民族を攻撃するようになり、その信者はレブナントに変身できたそうだ。",
"$EN_NORMAL_EXP","ノーマル","レブナント","蘇りし死体｜奈落では、死体が数日後に生き返ることがある。これらのモンスターは「レブナント」と呼ばれており、これは「帰りし者」を意味する。",
"$EN_NORMAL_EXP_PSI","ノーマル","レブナント","蘇りし死体｜奈落では、死体が数日後に生き返ることがある。これらのモンスターは「レブナント」と呼ばれており、これは「帰りし者」を意味する。",
"$EN_NORMAL_W","ノーマル","水辺の悪魔","泳げるレブナント｜この種のレブナントは、ねばねばとしたスライムを出し、自らの身を守ることができる。下腹部には毒ガスが入っているため、水に浮かぶことができる。",
"$EN_ARMORED","アーマード","堕ちた騎士","アーマーレブナント｜戦場で命を落とした、騎士のレブナント。生きていた頃の知性やスキルは全て失ったが、今でも鎧だけは持っている。",
"$EN_SPEEDY","ファスト","ワーム","レブナントの素早い幼体｜すばしっこい、虫のような姿をした生き物は、鋭い歯列を持っている。目撃者によると、膿にただれたブヨブヨのレブナントから飛び出してくるらしい。",
