flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	FAST	Červ	Rychlý Navrátilec|Tyhle potvory vypadají jako červi, ale jsou velmi rychlé a mají hubu plnou zubů! Svědectví popisují, že vylézají z tlustých Navrátilců, kteří několik týdnů hnili.
$EN_NORMAL_NOMONEY	NORMAL	Navrátilec	Oživené tělo|V Jámě mrtvoly často pár dní po smrti povstanou, říká se jim ''Navrátilci''
$EN_NORMAL	NORMAL	Navrátilec	Oživené tělo|V Jámě mrtvoly často pár dní po smrti povstanou, říká se jim ''Navrátilci''
$EN_CULTIST	CULTIST	Sektář	Transformovaný sektář|'Sekta Šílených po Krvi' vznikla z nomádského kultu krevních obětí. Jak se jejich víra vyvinula v henoteistické uctívání 'Eztli-Tenocha', začali napadat další kmeny, alespoň podle toho, co říkají přeživší masakru kmene Geka. Podle nich se někteří sektáři dobrovolně nechali proměnit v Navrátilce.
$EN_ARMORED CULTIST	CULTIST PRIEST	Kněz Sekty	Kněz Sekty|'Sekta Šílených po Krvi' vznikla z nomádského kultu krevních obětí. Jak se jejich víra vyvinula v henoteistické uctívání 'Eztli-Tenocha', začali napadat další kmeny, alespoň podle toho, co říkají přeživší masakru kmene Geka. Podle nich se někteří sektáři dobrovolně nechali proměnit v Navrátilce.
$EN_INSANE CULTIST	INSANE CULTIST	Arcikněz	Arcikněz Sekty|'Sekta Šílených po Krvi' vznikla z nomádského kultu krevních obětí. Jak se jejich víra vyvinula v henoteistické uctívání 'Eztli-Tenocha', začali napadat další kmeny, alespoň podle toho, co říkají přeživší masakru kmene Geka. Podle nich se někteří sektáři dobrovolně nechali proměnit v Navrátilce.
$EN_NORMAL_EXP	NORMAL	Navrátilec	Oživené tělo|V Jámě mrtvoly často pár dní po smrti povstanou, říká se jim ''Navrátilci''
$EN_NORMAL_EXP_PSI	NORMAL	Navrátilec	Oživené tělo|V Jámě mrtvoly často pár dní po smrti povstanou, říká se jim ''Navrátilci''
$EN_NORMAL_W	NORMAL	Utopenec	Plavající Navrátilec|Tihle Navrátilci vylučují sliz, který jejich tělo chrání před vodou. Jejich břicha jsou plná otravných plynů, což je drží nad vodou.
$EN_ARMORED	ARMORED	Padlý rytíř	Navrátilec v brnění|Tihle Navrátilci jsou rytíři padlí v boji. Bojové schopnosti a zkušenosti jim nezůstaly, brnění ano.
$EN_SPEEDY	FAST	Červ	Rychlý plazivec|Tyhle potvory vypadají jako červi, ale jsou velmi rychlé a mají hubu plnou zubů! Svědectví popisují, že vylézají z tlustých Navrátilců, kteří několik týdnů hnili.
$EN_SPEEDY_W	FAST	Hadoun	Rychlý plazivec|Někdo říká, že tihle vodní červi se prostě oddělili od větších lidských forem Navrátilců, někdo si myslí, že jsou to oživlé mrtvoly vodních hadů či úhořů.
$EN_ARMORED SPEEDY	FAST	Červošnek	Rychlý obrněný plazivec|Tihle červi mají jakousi velmi silnou skořápku. Říká se, že vznikla ze strávených kostí původní mrtvoly.
$EN_ARMORED_SPEEDY_W	FAST	Vodní červošnek	Rychlý obrněný plavající plazivec|Tihle červi se silnou skořápkou umí ještě navíc plavat. A zápach trávených kostí a zhoubných plynů je opravdu strašný.
$EN_ATTACKER	FIGHTER	Šílený ghúl	Bojovník Navrátilec|Někteří Navrátilci jsou velmi agresivní a místo zaslepeného pronásledování jednoho nepřítele útočí na všechno v dosahu.
$EN_DARK ATTACKER	SHADOW BOXER	Temný ghúl	Temný bojovník Navrátilec|Tihle Navrátilci tvoří ve svých útrobách množství plynu, jež vypouštějí celým povrchem těla. Plyn kolem nich vytváří mlhavý smrdutý oblak, který otupuje smysly nepřátel a navíc činí bojovníky téměr neviditelnými.
$EN_ATTACKER_W	FIGHTER	Říční ghúl	Plavající bojovník Navrátilec|Příběhy o smrdutých tělech, která se vynořují z řek a napadají vše živé, jsou v Jámě často k slyšení. Pro vodu nikdo nechodí sám - a jen úplní blázni by se v řece koupali.
$EN_ARMORED ATTACKER	FIGHTER	Šílený rytíř	Padlý rytíř bojovník|Tihle padlí rytíři jsou silní a nebezpeční. Jejich řev se rozléhá v katakombách i na pláních.
$EN_RAPID_ATTACKER	RAPID ATTACK
$EN_APC	SPLITTER	Obludnost	Hostitel|Tyhle nafouklé mrtvoly se jen tak tak pohybují a vypadá to, že každou chvíli puknou. Po stranách z nich koukají červí tlamy plné zubů. Tahle monstra jsou mohutná - draci je nedokážou sežrat, rytíři je nedokážou odrazit zpět.
$EN_APC_W	SPLITTER	Smrdutá mrtvola	Plovoucí hostitel|Tyhle nafouklé mrtvoly smrdí jako pytel chcíplých ryb prokládáných splašky a smrtí. Plavou a každou chvíli prasknou a vyvalí se z nich červi.
