"flag","nick_name","flavor_name","flavor_text",
"$EN_SLUGWORM","FAST","Червь","Быстрое порождение загробник|Это быстро движущееся червеобразное существо имеет несколько рядов острых зубов.,
Очевидцы говорят, что они вырываются из большого, раздутого загробника, который неделями разлагался.",
"$EN_NORMAL_NOMONEY","NORMAL","Загробник","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.,
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL","NORMAL","Загробник","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.,
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_CULTIST","CULTIST","Сектант","Превращенный сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_ARMORED CULTIST","CULTIST PRIEST","Жрец-сектант","Жрец-сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_INSANE CULTIST","INSANE CULTIST","Верховный жрец","Верховный жрец-сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_NORMAL_EXP","NORMAL","Загробник","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL_EXP_PSI","NORMAL","Загробник","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_NORMAL_W","NORMAL","Демон воды ","Плавающий загробник|Этот загробник выделяет липкую слизь, делая свое тело водонепроницаемым.
Ядовитые газы заполнили его живот, благодаря этому он не тонет.",
"$EN_ARMORED","ARMORED","Падший рыцарь","Бронированный загробник|Эти загробники когда-то были рыцарями, что пали в бою.
Они не сохранили свое мышление и навыки, что были у них при жизни, но броня осталась при них.",
"$EN_SPEEDY","FAST","Червь","Быстрое порождение загробник|Это быстро движущееся червеобразное существо имеет несколько рядов острых зубов.
Очевидцы говорят, что они вырываются из большого, раздутого загробника, который неделями разлагался.",
"$EN_SPEEDY_W","FAST","Змей","Быстрое плавающее порождение|Говорят, что эти быстрые плавающие черви-загробники отделяются от плавающего людского загробника.
Другие предполагают, что они вышли из трупов рыб и речных змей.",
"$EN_ARMORED SPEEDY","FAST","Панцирный червь","Быстрое бронированное порождение|Этому червеобразному загробнику удалось отрастить толстый панцирь.
Многие предполагают, что бронированный панцирь состоит из переваренных костей мертвецов.",
"$EN_ARMORED_SPEEDY_W","FAST","Панцирный змей ","Быстрое бронированное водное порождение|Этот водный червь-загробник отрастил крепкий панцирь и научился плавать.
Запах переваренных костей и вредного газа невыносим.",
"$EN_ATTACKER","FIGHTER","Безумный вурдалак","Атакующий загробник|Некоторые загробники более агрессивны.
В то время как нормальные загробники целеустремленно атакуют одну жертву, эти атакуют всех поблизости.",
"$EN_DARK ATTACKER","SHADOW BOXER","Темный вурдалак","Темный атакующий загробник|Газы накапливаются в животе загробника и выделяются через поры в коже, окружая толстое существо вредным плотным облаком, делая его менее заметным и запутывая жертв.",
"$EN_ATTACKER_W","FIGHTER","Речной вурдалак","Атакующий водный загробник|Ходят слухи о зловонных трупах, изобилующих в преисподней, выходящих из воды и нападающих на измученных жаждой деревенских жителей.
Никто не осмеливается подойти к воде в одиночку и только безумец рискнет плавать.",
"$EN_ARMORED ATTACKER","FIGHTER","Сумасшедший рыцарь","Атакующий бронированный загробник|Эти падшие рыцари ужасны и сильны.
Их неземные крики эхом разносятся по катакомбам и всей пустоши.",
"$EN_RAPID_ATTACKER","RAPID ATTACK","","",
"$EN_APC","SPLITTER","Чудовище","Порождает потомство|Эти раздутые трупы едва могут двигаться и выглядят, словно готовы лопнуть в любой момент.
Несколько рядов зубов торчат во все стороны изо рта. Они настолько большие, что вряд ли ими можно пожирать, тем более закрыть рот.",
"$EN_APC_W","SPLITTER","Зловонный труп","Порождает водное потомство|От этих загробников несет как от мешка гнилой рыбы, который выкинули в канализацию и там оставили разлагаться.
Они легко передвигаются по воде и могут лопнуть в любой момент.",
"$EN_ARMORED APC","ARMORED SPLIT","Панцирный зверь","Порождает панцирное потомство|Гигантский панцирь защищает этот чудовищный шар переваривающейся плоти.
Многие считают, что у него не осталось костного скелета.",
"$EN_DOUBLE APC","DOUBLE SPLIT","Мерзость","Порождает плюющееся потомство|Этот странный монстр обесцвечен и сильно раздут.
Что бы это значило?",
"$EN_ARMORED RANGED ATTACKER","RANGED","Змей-вурдалак","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_RANGED ATTACKER","RANGED","Змей-вурдалак","Плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_RANGED ATTACKER_W","RANGED","Речной змей-вурдалак","Водный плюющийся загробник|Спустя несколько недель странный процесс начинает переваривать и деформировать тело загробника.
Свидетели сообщают о нападении безглазых ''змеелюдей'', извергающих зловонную желчь.",
"$EN_DARK","DARK","Теневой червь","Быстрое темное порождение|Эти черви окутаны густым черным туманом, из-за которого в них почти невозможно попасть.",
"$EN_BRUTE","TOUGH","Смертельный червь","Сильное порождение загробник|Эти бледные и червеобразные существа медленно двигаются и имеют очень прочную кожу, вместо хрупкой наружной мембраны.
Хотя их легко обогнать, они обычно настигают свою добычу за счет неустанного и бесконечного преследования.",
"$EN_NORMAL_LOWXP","NORMAL","Загробник","Оживший мертвец|В преисподней трупы часто воскресают через несколько дней после смерти.
Эти монстры известны как ''загробник'', что означает: ''тот, кто возвратился.''",
"$EN_CULTIST_LOWXP","CULTIST","Сектант","Превращенный сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_ARMORED CULTIST_LOWXP","CULTIST PRIEST","Жрец-сектант","Жрец-сектант|'Секта одержимых кровью' зародилась как секта кочевников, известная своими кровавыми обрядами.
Когда их религия переросла в генотеистическое поклонение Эзтли-Теноху, они начали совершать набеги на другие племена.
Эти сказания дошли до нас от выживших Гека после великой резни. Говорят, что сектанты превращаются в загробников по своей воле.",
"$EN_NORMAL_W_LOWXP","NORMAL","Демон воды","Плавающий загробник|Этот загробник выделяет липкую слизь, делая свое тело водонепроницаемым.
Ядовитые газы заполнили его живот, благодаря этому он не тонет.",
"$EN_ARMORED_LOWXP","ARMORED","Падший рыцарь","Бронированный загробник|Эти загробники когда-то были рыцарями, что пали в бою.
Они не сохранили свое мышление и навыки, что были у них при жизни, но броня осталась при них.",
"$EN_SPEEDY_LOWXP","FAST","Червь","Быстрое порождение загробник|Это быстро движущееся червеобразное существо имеет несколько рядов острых зубов.
Очевидцы говорят, что они вырываются из большого, раздутого загробника, который неделями разлагался.",
"$EN_SPEEDY_W_LOWXP","FAST","Змей","Быстрое плавающее порождение|Говорят, что эти быстрые плавающие черви-загробники отделяются от плавающего людского загробника.
Другие предполагают, что они вышли из трупов рыб и речных змей.",
"$EN_ARMORED SPEEDY_LOWXP","FAST","Панцирный червь","Быстрое бронированное порождение|Этому червеобразному загробнику удалось отрастить толстый панцирь.
Многие предполагают, что бронированный панцирь состоит из переваренных костей мертвецов.",
"$EN_ARMORED_SPEEDY_W_LOWXP","FAST","Панцирный змей "," Быстрое бронированное водное порождение| Этот водный червь-загробник отрастил крепкий панцирь и научился плавать.
Запах переваренных костей и вредного газа невыносим.",
"$EN_ATTACKER_LOWXP","FIGHTER","Безумный вурдалак","Атакующий загробник|Некоторые загробники более агрессивны.
В то время как нормальные загробники целеустремленно атакуют одну жертву, эти атакуют всех поблизости.",
