flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	신속	벌레	재빠른 망령 기생충|재빠른 몸놀림을 가진 이 벌레 같은 생명체들은 날카로운 이빨을 가지고 있습니다. 목격자들에 따르면 이 벌레들은 몇 주 동안이나 부패한 망령들의 몸에서 터져 나온다고 합니다.
$EN_NORMAL_NOMONEY	일반	망령	움직이는 시체|시체들은 종종 죽은 지 며칠 후에 구덩이 속에서 다시 일어납니다. 이런 괴물들은 ""다시 돌아온 자""라는 의미의 ""망령""이라 알려져 있습니다.
$EN_NORMAL	일반	망령	움직이는 시체|시체들은 종종 죽은 지 몇 일 후에 구덩이 속에서 다시 일어납니다. 이런 괴물들은 ""다시 돌아온 자""라는 의미의 ""망령""이라 알려져 있습니다.
$EN_CULTIST	광신도	광신도	변이 한 광신도|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_ARMORED CULTIST	광신도 사제	광신도 사제	광신도 사제|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_INSANE CULTIST	미친 광신도	대사제	광신도 대사제|'미친 피의 교단'은, 방혈 의식을 행한다고 알려진 한 방랑자 종파에서부터 시작되었습니다. 그 신앙이 '에즈틀리-테노크'이란 유일신적 존재에 대한 숭배로 이어지면서, 이들은 다른 부족들을 습격하기 시작했습니다. 이러한 정보는 게카 부족 학살의 생존자들로부터 얻어낸 것입니다. 이 종파의 광신도들이 스스로의 의지로 망령으로 변이하고 있다는 수많은 보고들이 들어오고 있습니다.
$EN_NORMAL_EXP	일반	망령	움직이는 시체|시체들은 종종 죽은 지 며칠 후에 구멍 속에서 다시 일어납니다. 이런 괴물들은 ""다시 돌아온 자""라는 의미의 ""망령""이라 불립니다.
$EN_NORMAL_EXP_PSI	일반	망령	움직이는 시체|시체들은 종종 죽은 지 며칠 후에 구멍 속에서 다시 일어납니다. 이런 괴물들은 ""다시 돌아온 자""라는 의미의 ""망령""이라 불립니다.
$EN_NORMAL_W	일반	수생 괴물	물귀신 망령|이 망령들은 신체에서 방수성의 끈적한 점액을 분비합니다. 뱃속에는 유독성 기체가 가득 차 있어 시체가 가라앉지 못하도록 합니다.
$EN_ARMORED	중무장	타락한 기사	중무장 망령|이 망령들은 생전의 전투에서 패배한 기사들이었습니다. 비록 살아있던 시절의 기술이나 지식은 가지고 있지 않으나, 그 갑옷만은 아직 걸치고 있습니다.
$EN_SPEEDY	신속	벌레	재빠른 망령 기생충|재빠른 몸놀림을 가진 이 벌레 같은 생명체들은 날카로운 이빨을 가지고 있습니다. 목격자들에 따르면 이 벌레들은 몇 주 동안이나 부패한 망령들의 몸에서 터져 나온다고 합니다.
$EN_SPEEDY_W	신속	바다뱀	재빠른 물귀신 기생충|혹자는 이 물귀신 망령 벌레들이 물위에서 떠다니던 인간 망령들에서 떨어져 나온 것이라 설명합니다. 다른 이들은 이 벌레들이 물고기나 물뱀의 시체에서 기생하던 것이라 생각하고 있습니다.
$EN_ARMORED SPEEDY	신속	껍질 벌레	재빠른 중무장 기생충|이 망령 벌레들은 두꺼운 껍질을 두르고 있습니다. 많은 이들이 그 껍질은 원래 숙주의 뼈로 이루어진 것이라 추측합니다.
$EN_ARMORED_SPEEDY_W	신속	껍질 바다뱀	재빠른 중무장 물귀신 기생충|이 수생(水生) 망령 벌레들은 이제 두꺼운 갑각과 잠영 능력까지 발달시켰습니다. 썩어가는 뼈가 풍기는 냄새와 유독성 가스의 위력은 압도적입니다.
$EN_ATTACKER	흉포한	미친 구울	흉포한 망령|몇몇 망령들은 다른 괴물들에 비해 훨씬 공격적입니다. 일반적인 망령들이 단순히 희생자 하나만을 쫓아다니는 데 반해, 이들은 눈에 보이는 모든 것을 공격한다고 알려져 있습니다.
$EN_DARK ATTACKER	그림자 싸움꾼	어둠의 구울	어둠 속 흉포한 망령|망령의 뱃속에 가득 찬 가스가 피부를 통해 새어 나와, 짙은 유독성 안개를 형성하여 망령의 모습을 둘러싸버립니다. 희생자는 이 압도적인 가스 속에서 시야마저 잃은 채 혼란에 빠지게 됩니다.
