flag	nick_name	flavor_name	flavor_text
$EN_SLUGWORM	快	蟲	敏捷的亡者小怪|這些像蟲一般的生物有好幾排利齒,敏捷。<N><N>目擊者說它們是自腐爛了好幾星期，發脹了的亡者之中，爆出來的怪物。
$EN_NORMAL	正常	亡者	可以重新活動的屍體|在墓坑中，很多屍體會在下葬幾天後能動起來。<N><N>這些怪物被稱為 <LQ>亡者,<RQ> 意思是, <LQ>從那邊回來的<RQ>
$EN_CULTIST_SECT			<LQ>狂血崇拜<RQ> 來自一個有血祭儀式的遊牧民族。
$EN_CULTIST_ACCOUNT			相傳這是來自革卡族大屠殺的倖存者，很多人見過這些邪教徒可以隨意變微亡者。
$EN_CULTIST_BASIC			<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>很少人知道他們的信仰崇拜的對象， <LQ>艾斯理-特諾奇,<RQ>與他們一直狩獵新鮮的受害者的習慣<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_CULTIST	邪教徒	邪教徒	變形的邪教徒|<RE>[$EN_CULTIST_BASIC_FLAVOR_TEXT]
$EN_ARMORED CULTIST	邪教祭師	邪教祭師	異教祭師|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>殘酷的宗教儀式就是有異教祭師來舉行，他們也經常展現出大型的自殘行為。<N><N><RE>[$EN_CULTIST_ACCOUNT_FLAVOR_TEXT]
$EN_INSANE CULTIST	發瘋的邪教徒	高級祭師	邪教高級祭師|<RE>[$EN_CULTIST_SECT_FLAVOR_TEXT]<N><N>據奎德歷史記錄，這個宗教是一個母系結構的組織 ，<LQ>眾魔之後<RQ> 。近幾個世紀，這種中央集權的結構幾乎消失，由寥寥數人的高級祭師逐漸控制了整個組織。
$EN_NORMAL_W	<RE>$EN_NORMAL_NICK_NAME	水中惡魔	游泳的亡者|這些亡者渾身都是粘液，讓他們可以在水中移動。<N><N>讓他們浮起來的是腹中的有毒氣體。
$EN_ARMORED	武裝	墮落騎士	武裝起來的亡者|這些亡者都是在戰場上犧牲的騎士。<N><N>雖然他們的理智和能力沒有保留下來，但最少還有自己的盔甲。
